q_id,web_id_1,web_id_2,web_id_3,web_id_4,web_id_5
1136,579,468,438,1705,1910
2185,860,1620,1677,1746,
6461,1677,628,444,579,1694
2490,579,1856,1317,578,468
4383,1694,1746,1677,579,
1860,1856,579,1317,468,578
6588,693,15,386,114,1731
1570,837,481,1705,1721,
3853,1789,693,1705,444,
4633,1655,1910,1066,258,
6098,1317,1528,1529,1600,1696
3925,1080,1696,433,444,1633
1881,185,1620,1042,152,
3856,1910,938,781,1267,331
5386,1042,1093,1066,1705,108
5957,762,1705,1815,1301,1822
6718,1746,1910,1551,,
1621,114,1910,693,1677,
1279,1655,1537,1910,1746,1042
228,1705,108,,,
2668,1828,1822,1705,464,
6064,823,1066,1620,1042,258
5078,579,468,578,1317,1529
5815,762,1301,1853,1046,
2976,1910,1537,938,1066,
2631,114,1696,1677,438,1267
4058,1529,1620,1528,1746,
6627,1042,762,1046,1746,1620
4047,1609,1042,1746,1705,
950,1746,1627,1529,1705,
2272,1677,762,1267,108,1746
2738,1267,579,578,762,1537
151,1620,1042,481,938,
4974,150,1677,1682,1267,
551,762,1620,823,1551,1682
2897,781,1620,1627,1696,1746
4009,1677,1044,1042,,
6258,579,1910,1856,468,114
5376,1267,15,1705,,
1326,1856,579,1267,1317,468
675,468,579,578,1910,
5604,1317,579,468,578,1705
5073,1746,1620,150,1066,
5130,338,1913,1746,1066,
3370,468,579,1705,578,1528
6205,762,1746,781,1551,
6380,1609,438,1607,,
2762,1317,579,468,1236,1316
5520,762,1080,1046,1633,
3176,468,108,1910,579,
2227,1910,1696,1677,579,114
4710,1042,1044,938,1815,
494,1789,1705,108,,
928,1267,1910,1529,1066,1528
1637,693,1910,1600,,
682,1317,579,468,578,1856
1011,823,1301,1705,,
3338,1677,114,762,1746,1042
216,1910,114,,,
3553,468,579,1694,1317,
3025,1317,578,1705,261,
4185,1591,1042,1620,1677,1044
2827,1620,1705,1042,1677,
1932,468,1551,1207,438,1910
6882,468,1705,1317,1065,
713,1607,1910,1746,150,468
5906,150,1042,212,185,213
865,1677,1705,1044,1301,1042
2959,114,1677,15,464,216
4344,579,1910,1093,468,
3976,1705,1828,170,,
4413,781,1735,621,1163,
3488,628,1910,1044,1042,1620
6413,579,1267,1042,781,1789
920,1627,1905,150,1746,938
4233,762,1551,1080,1746,150
2087,1677,762,1042,1746,781
1900,1910,468,1705,579,464
1420,1910,468,1746,1551,
5179,1705,762,,,
4257,1620,1551,1548,1822,1528
3648,1746,1537,,,
5599,1267,1620,1905,1627,1529
1352,1910,1528,1529,1600,1548
3994,1677,1042,1044,1128,
1657,114,1317,1910,1677,1746
538,762,1046,150,1301,823
6703,468,579,578,1705,1317
6096,1721,1910,108,1705,
1253,1677,1317,1874,331,
3967,938,1705,1591,170,
906,114,1677,1529,1696,1267
4598,1267,579,114,15,444
890,1317,579,468,860,1241
1301,1267,1627,1905,1529,1910
2950,1677,1128,762,1130,1696
637,579,1856,578,1317,468
6695,1317,468,1423,579,108
3739,114,1529,579,15,1677
2145,579,468,548,1705,578
4360,1083,433,768,1093,
2876,1620,150,1551,1682,1529
708,1746,762,468,1551,1677
1766,150,1682,1746,1696,1910
730,1317,468,579,578,1301
1171,1746,1042,258,,
791,1705,1910,1655,114,
6446,1529,1267,1600,693,1910
1222,1677,1746,438,1696,150
4416,118,781,899,1925,
4960,1317,1682,578,1677,150
1446,1746,1529,1627,1905,1551
4447,1066,1910,1746,,
782,1677,1042,1853,823,1822
6216,1677,781,118,,
5875,1620,1537,258,1705,
3328,579,468,578,1705,
664,1910,1746,693,1655,
5839,823,1301,1746,1317,1705
872,1746,1705,1620,,
400,1317,1705,468,837,
599,1677,468,1746,114,578
6113,1696,579,1317,578,1633
5410,1746,1705,338,1627,1905
4638,1317,579,444,315,578
2005,1620,258,1746,1529,
2385,1769,1848,1267,1705,1093
4956,1529,1905,1627,1528,1746
652,1317,468,578,1207,1591
3660,1537,1529,1267,1910,
1493,1910,1705,938,628,
4828,468,1317,579,1236,1412
1757,1044,1705,,,
3242,1317,1065,1705,,
2377,1746,114,1677,1620,
2541,1677,114,762,1696,
529,1856,579,1828,1822,1705
4923,150,1620,1677,1746,1065
2571,1267,1317,1046,468,579
2280,468,1705,768,762,
472,1789,579,1677,114,
4417,15,781,1735,621,
2269,1042,1705,,,
453,1677,1042,1046,1301,762
4890,114,781,1910,1696,1600
6037,1551,1548,1207,1065,1620
3560,468,579,578,1705,1696
4073,1620,762,1537,1746,823
6665,1042,1680,108,,
6630,1677,1620,1537,1065,
6787,1705,1537,1889,,
3885,468,579,1317,1705,628
474,1066,1042,823,1044,
1317,1696,579,1267,1910,1789
5361,114,1789,1267,1655,1677
4580,1317,579,468,578,1856
650,579,578,1856,1267,1317
450,1620,1042,1044,938,823
3089,1721,1785,579,481,
3781,579,468,578,1910,1564
5,1746,1529,150,1620,1910
1311,781,1746,150,1910,1677
6599,433,1677,1065,1655,762
620,1317,579,1822,1705,444
1712,170,781,1822,468,1551
5382,114,1677,1910,1789,1705
121,1677,1696,1789,781,438
4680,1705,1828,1721,1822,
5740,762,1682,1677,1046,1207
1713,1317,579,468,386,578
5887,579,216,1789,,
2154,468,579,1317,1705,578
5402,579,468,578,1317,1856
6466,579,578,1317,1856,1633
788,1910,860,114,,
6085,1853,1822,823,236,
3169,1207,1746,1564,1548,1600
3987,1705,,,,
4481,1317,468,579,578,1856
4669,1705,1822,579,1677,
3568,1705,1746,,,
5939,114,1682,1677,1317,762
6084,1044,1042,823,1682,
6956,468,579,1910,1528,1529
6706,823,1677,1042,1044,
1625,1677,114,1267,1910,1789
4274,468,1317,578,579,261
5414,579,468,1317,762,1080
61,468,579,578,1856,1317
6799,1677,1042,1705,108,
2363,693,114,1910,1712,
6558,114,1677,1910,1746,
814,114,1677,1529,579,1696
4149,1677,114,762,1046,
2321,1705,579,468,1746,1529
4648,1267,229,1746,1789,781
4564,114,1267,438,579,468
2489,1551,1696,762,1925,1620
5279,481,1705,236,234,1814
2481,150,1207,355,,
