0,1,2,3,4,q_id,web_list
1567,1607,496,114,1808,1,"[1567, 1607, 496, 114, 1808]"
368,599,597,1263,1906,2,"[368, 599, 597, 1263, 1906]"
1175,386,1516,1165,1166,3,"[1175, 386, 1516, 1165, 1166]"
1043,1620,659,1461,478,4,"[1043, 1620, 659, 1461, 478]"
1520,1621,1556,1538,1564,5,"[1520, 1621, 1556, 1538, 1564]"
349,1042,261,1045,1680,6,"[349, 1042, 261, 1045, 1680]"
1906,1916,1528,865,1662,7,"[1906, 1916, 1528, 865, 1662]"
282,511,1809,1858,1867,8,"[282, 511, 1809, 1858, 1867]"
1618,1193,886,1909,1340,9,"[1618, 1193, 886, 1909, 1340]"
1884,786,1306,1924,455,10,"[1884, 786, 1306, 1924, 455]"
1068,98,96,1202,410,11,"[1068, 98, 96, 1202, 410]"
1611,1192,1617,926,109,12,"[1611, 1192, 1617, 926, 109]"
1587,1884,128,1627,1886,13,"[1587, 1884, 128, 1627, 1886]"
372,1567,752,762,759,14,"[372, 1567, 752, 762, 759]"
1904,18,1607,1316,1587,15,"[1904, 18, 1607, 1316, 1587]"
1129,1046,347,1135,1060,16,"[1129, 1046, 347, 1135, 1060]"
768,1191,739,368,1738,17,"[768, 1191, 739, 368, 1738]"
1607,1904,496,18,1517,18,"[1607, 1904, 496, 18, 1517]"
1900,1767,1543,360,1125,19,"[1900, 1767, 1543, 360, 1125]"
1676,438,287,97,1041,20,"[1676, 438, 287, 97, 1041]"
1884,18,1561,823,412,21,"[1884, 18, 1561, 823, 412]"
1555,891,123,349,1768,22,"[1555, 891, 123, 349, 1768]"
162,511,1809,1858,1867,23,"[162, 511, 1809, 1858, 1867]"
1541,793,1313,1553,1201,24,"[1541, 793, 1313, 1553, 1201]"
114,1044,412,1042,359,25,"[114, 1044, 412, 1042, 359]"
862,368,455,1697,1113,26,"[862, 368, 455, 1697, 1113]"
1615,1586,1556,1538,1608,27,"[1615, 1586, 1556, 1538, 1608]"
1768,1775,1769,106,1900,28,"[1768, 1775, 1769, 106, 1900]"
1618,1516,89,1775,1768,29,"[1618, 1516, 89, 1775, 1768]"
1884,819,1618,1775,1768,30,"[1884, 819, 1618, 1775, 1768]"
1618,409,347,374,1046,31,"[1618, 409, 347, 374, 1046]"
1516,1525,878,1768,1775,32,"[1516, 1525, 878, 1768, 1775]"
1884,786,1306,1640,1924,33,"[1884, 786, 1306, 1640, 1924]"
1677,1567,522,521,1499,34,"[1677, 1567, 522, 521, 1499]"
511,1809,1858,1867,1859,35,"[511, 1809, 1858, 1867, 1859]"
526,558,1063,927,1615,36,"[526, 558, 1063, 927, 1615]"
608,848,1725,740,825,37,"[608, 848, 1725, 740, 825]"
1607,768,1608,739,745,38,"[1607, 768, 1608, 739, 745]"
878,478,1924,1894,1915,39,"[878, 478, 1924, 1894, 1915]"
349,1646,1932,1191,692,40,"[349, 1646, 1932, 1191, 692]"
1524,1525,1559,453,1197,41,"[1524, 1525, 1559, 453, 1197]"
1191,372,900,614,1544,42,"[1191, 372, 900, 614, 1544]"
1359,481,1766,1858,1867,43,"[1359, 481, 1766, 1858, 1867]"
1630,436,1648,1053,79,44,"[1630, 436, 1648, 1053, 79]"
1590,1006,1599,273,927,45,"[1590, 1006, 1599, 273, 927]"
1068,1911,211,1067,607,46,"[1068, 1911, 211, 1067, 607]"
1627,1905,1907,1527,1899,47,"[1627, 1905, 1907, 1527, 1899]"
1906,1528,900,455,1914,48,"[1906, 1528, 900, 455, 1914]"
110,543,1919,1062,1587,49,"[110, 543, 1919, 1062, 1587]"
162,165,925,919,599,50,"[162, 165, 925, 919, 599]"
511,1809,1858,1867,1859,51,"[511, 1809, 1858, 1867, 1859]"
1900,1543,1917,349,1677,52,"[1900, 1543, 1917, 349, 1677]"
1567,1607,496,114,1808,53,"[1567, 1607, 496, 114, 1808]"
