q_id,web_list
1,"[1567, 114, 1607, 16, 496]"
2,"[368, 372, 1570, 862, 1113]"
3,"[1733, 116, 1175, 412, 386]"
4,"[1043, 1620, 1461, 446, 1520]"
5,"[1586, 1520, 1621, 1535, 1029]"
6,"[1570, 1554, 1314, 1596, 1222]"
7,"[1206, 647, 419, 585, 1818]"
8,"[1870, 1197, 700, 1280, 1524]"
9,"[1844, 1078, 1089, 1043, 772]"
10,"[299, 1051, 1570, 585, 1524]"
11,"[1044, 1554, 1870, 1586, 1233]"
12,"[1269, 776, 1690, 1304, 868]"
13,"[1870, 297, 1233, 1706, 1394]"
14,"[1774, 1371, 604, 110, 387]"
15,"[818, 601, 957, 1150, 1044]"
16,"[323, 459, 1269, 775, 868]"
17,"[1259, 1626, 345, 1653, 1803]"
18,"[1044, 1233, 1009, 1554, 776]"
19,"[1643, 247, 747, 1572, 1729]"
20,"[1724, 1242, 170, 986, 1131]"
21,"[425, 526, 459, 516, 810]"
22,"[1643, 602, 747, 1653, 553]"
23,"[287, 1233, 272, 136, 520]"
24,"[1467, 899, 1195, 1641, 897]"
25,"[1064, 198, 149, 1671, 125]"
26,"[1185, 289, 145, 366, 1041]"
27,"[339, 1206, 1322, 1849, 917]"
28,"[947, 342, 1035, 1774, 825]"
29,"[1386, 826, 339, 1488, 1617]"
30,"[1044, 1643, 1009, 1554, 776]"
31,"[1470, 1233, 1710, 1269, 776]"
32,"[1314, 914, 746, 1653, 447]"
33,"[1754, 298, 501, 272, 1900]"
34,"[1233, 776, 1554, 997, 1874]"
35,"[772, 1044, 1554, 776, 997]"
36,"[1705, 155, 166, 1835, 473]"
37,"[1643, 1140, 302, 1554, 776]"
38,"[1233, 464, 1009, 1044, 1383]"
39,"[1870, 1233, 776, 1554, 1643]"
40,"[1762, 1301, 776, 271, 1044]"
41,"[1044, 1554, 776, 1870, 1233]"
42,"[1044, 1233, 1554, 1009, 1643]"
43,"[1653, 614, 1434, 529, 972]"
44,"[184, 1404, 1314, 1869, 182]"
45,"[415, 1643, 898, 1554, 1626]"
46,"[1185, 339, 927, 1554, 1617]"
47,"[1849, 927, 1397, 318, 621]"
48,"[1554, 114, 1870, 776, 412]"
49,"[1244, 953, 770, 1696, 1041]"
50,"[1570, 585, 287, 1051, 299]"
51,"[300, 1728, 958, 912, 319]"
52,"[829, 1637, 1370, 1669, 1415]"
53,"[214, 1295, 1392, 1236, 1183]"
54,"[1044, 1554, 776, 1870, 1233]"
55,"[1870, 297, 1706, 816, 832]"
56,"[1361, 999, 1547, 1103, 151]"
57,"[917, 497, 530, 527, 499]"
58,"[208, 1814, 1269, 866, 118]"
59,"[1643, 747, 602, 153, 1168]"
60,"[1125, 196, 1078, 386, 564]"
61,"[159, 1236, 346, 581, 730]"
62,"[769, 1469, 388, 1692, 820]"
63,"[1768, 353, 301, 1507, 1587]"
64,"[531, 843, 192, 1384, 1870]"
65,"[1554, 1643, 776, 1233, 1009]"
66,"[1044, 1870, 1554, 776, 1233]"
67,"[310, 773, 1567, 231, 1851]"
68,"[114, 16, 356, 1567, 1586]"
69,"[520, 457, 338, 377, 469]"
70,"[1165, 839, 243, 1355, 1501]"
71,"[46, 84, 9, 52, 61]"
72,"[1764, 1203, 1238, 1717, 31]"
73,"[1643, 1554, 776, 1870, 1233]"
74,"[1554, 1044, 1643, 776, 1233]"
75,"[1773, 1474, 168, 150, 117]"
76,"[521, 1025, 1288, 1137, 1039]"
77,"[477, 623, 1577, 1218, 196]"
78,"[1870, 576, 652, 1643, 1554]"
79,"[1643, 1554, 776, 1644, 1409]"
80,"[1440, 397, 1397, 594, 349]"
81,"[196, 320, 30, 968, 673]"
82,"[1540, 1246, 1696, 355, 114]"
83,"[864, 1679, 1062, 1254, 1498]"
84,"[1609, 398, 1635, 349, 1773]"
85,"[910, 1174, 1434, 1590, 534]"
86,"[193, 396, 600, 141, 120]"
87,"[979, 529, 1065, 1643, 347]"
88,"[450, 1021, 1607, 1791, 1180]"
89,"[1197, 1476, 1168, 1009, 553]"
90,"[536, 1289, 1197, 1304, 867]"
91,"[573, 238, 59, 689, 354]"
92,"[1554, 1643, 1870, 114, 1233]"
93,"[1870, 1554, 1233, 776, 1044]"
94,"[1402, 1137, 531, 392, 707]"
95,"[114, 1567, 16, 357, 846]"
96,"[369, 131, 1591, 1009, 1387]"
97,"[204, 273, 880, 378, 401]"
98,"[873, 508, 849, 1504, 1798]"
99,"[1275, 1643, 548, 1522, 325]"
100,"[693, 682, 1108, 156, 578]"
101,"[643, 93, 80, 1465, 1055]"
102,"[558, 770, 1070, 1042, 1173]"
103,"[238, 1549, 1513, 1660, 629]"
104,"[1611, 566, 734, 1694, 1186]"
105,"[1369, 177, 749, 1174, 1196]"
106,"[1055, 1008, 1693, 1175, 24]"
107,"[706, 756, 962, 766, 145]"
