,web_id,url,kind,title,text
769,770,https://alfabank.ru/sme/raschetnyj-schet/yur-lico/,html,Расчётный счёт для юридических лиц в 🅰️ Альфа‑Банке — Открыть счёт в банке для юр лица онлайн,"Бесплатно
Платежи 24/7
Внутри Альфа-Банка
До 10% кэшбэк
За расходыДо 100%
Открытие и ведение расчётного счёта возможно без визита в банк, а спектр услуг подойдет как начинающим, так и уже действующим бизнесменам. Поэтому каждый пятый российский предприниматель доверяет нам финансовое сопровождение своего бизнеса.
* Акция действительна для новых клиентов. При подключении с 1.04.2025 тарифов Быстрое развитие и Активные расчёты дарим скидку 50% на обслуживание счёта в рублях на 6 месяцев. Скидка будет предоставляться для клиентов с выручкой до 500 млн рублей в год
От этих условий невозможно отказаться
Нет лишних платежей
Нет оборотов — не платите за обслуживание
Крутой мобильный банк
Ваш персональный менеджер будет всегда на связи
9,9% на остаток
по счёту «Налоговая копилка». Поможем вам максимально упростить оплату налогов
Выгодный эквайринг
Бесплатное подключение и аренда терминалов, работа с основными платёжными системами
Кто может открыть расчётный счёт в Альфа-Банке
Мы предусмотрели широкую линейку тарифов, учитывающую масштабы и специфику разных сфер бизнеса с годовым оборотом до 350 млн руб. Если выручка вашей компании больше, то вам подойдут тарифы для предприятий среднего и крупного бизнеса.
Условия сотрудничества для юридических лиц
Владелец компании подобрать для себя тарифное предложение, условия которого будут максимально удобными.
Подробные условия по тарифам
Стоимость обслуживания в месяц | 1% — от поступлений до 750 000 ₽ 2,25% — до 2 млн ₽ 3,5% — свыше 2 млн ₽ |
Переводы по РФ между юрлицами-резидентами и ИП в интернет-банке | Бесплатно |
Переводы на счета физлиц | До 1 млн ₽ — бесплатно Более 1 млн ₽: — 2,5% + 99 ₽ за внутренний перевод — 2,8% + 99 ₽ за внешний перевод |
Переводы со счёта ИП на личный счёт | До 2 млн ₽ — бесплатно, далее — 2,5% + 99 ₽ за перевод |
Стоимость обслуживания в месяц | Бесплатно — при поступлениях менее 1,5 млн ₽ в месяц 990 ₽ — при поступлении более 1,5 млн ₽ в месяц |
Переводы по РФ между юрлицами-резидентами и ИП в интернет-банке | 0 ₽ — первые 3 перевода, далее — 149 ₽ за перевод |
Переводы на счета физлиц | 2,1% + 149 ₽ за внутренний перевод 2,3% + 149 ₽ за внешний перевод |
Переводы со счёта ИП на личный счёт | До 100 000 ₽ — бесплатно, далее — 2% + 149 ₽ за перевод |
Стоимость обслуживания в месяц | Первые 6 месяцев 995 ₽, далее — 1990 ₽ |
Переводы по РФ между юрлицами-резидентами и ИП в интернет-банке | 0 ₽ — первые 25 переводов, далее — 59 ₽ за перевод |
Переводы на счета физлиц | Внутрибанковские переводы 0% — до 100 000 ₽ 1,6% + 59 ₽ — от 100 000 ₽ Платежи в другие банки 0% — до 100 000 ₽ 1,8% + 59 ₽ — от 100 000 ₽ |
Переводы со счёта ИП на личный счёт | 0% — до 300 000 ₽ 1,6% + 59 ₽ — свыше 300 000 ₽ |
Стоимость обслуживания в месяц | Первые 6 месяцев 1995 ₽, далее — 3990 ₽ |
Переводы по РФ между юрлицами-резидентами и ИП в интернет-банке | 0 ₽ — первые 50 переводов, далее — 49 ₽ за перевод |
Переводы на счета физлиц | До 200 000 ₽ бесплатно Далее: — 1,4% + 49 ₽ за внутренний перевод — 1,7% + 49 ₽ за внешний перевод |
Переводы со счёта ИП на личный счёт | 0% — до 500 000 ₽ 1,4% — свыше 500 000 ₽ |
Если вы занимаетесь коммерческой деятельностью и владеете собственным бизнесом, скорее всего, вам требуется банк, где можно выгодно открыть счёт для юридического лица.
На сегодняшний день каждый 5-й предприниматель в России для расчётно-кассового обслуживания выбирает Альфа-Банк. И на это есть целый ряд серьезных причин: надежная репутация и 28-летний успешный опыт на отечественном рынке банковских услуг, полный спектр финансовых услуг для юрлиц и выгодные тарифы, а также активное внедрение современных сервисов и технологий.
Преимущества РКО для юридических лиц в Альфа-Банке
1. Бесплатные услуги для юрлиц в мобильном и интернет-банке:
открытие и ведение расчётного счёта;
подключение эквайринга и аренда терминалов;
переводы бизнес-клиентам банка и платежи в бюджет;
переводы на свой счёт в банке до 100 000 рублей в месяц;
выпуск карты Alfa-Cash для работы с наличными.
2. Доход на остаток средств на счёте.
3. Онлайн-выбор тарифного плана.
4. Быстрая процедура оформления.
Вы сможете удобно снимать и вносить наличные на счёт, обменивать валюту, резервировать денежные средства для сделок, а также ряд совершать ряд других необходимых действий в интересах своей компании. Все банковские операции проводятся в соответствии с действующим законодательством.
Обслуживание счёта | Бесплатно |
Открытие счёта | Бесплатно |
Суперкэшбэк от партнёров | До 100% |
Проценты на остаток | Начисление 1% |
Услуги для бизнеса
Расчётный счёт для бизнеса
Расчётный счёт для ИП
Расчетный счет для ООО
Расчётно-кассовое обслуживание
Открытие расчётного счёта в городах
Тарифы на РКО
Регистрация бизнеса
Регистрация бизнеса в городах
Отраслевые решения для бизнеса
ВЭД
Полезные сервисы и документы"
612,613,https://alfabank.ru/sme/abp/referral/game/v-potoke/,html,Игра В потоке от Альфа-Банка,"Новая головоломка и инсайт каждый день
Заходите в игру чаще. Каждый раз будет новый инсайт о том, как развивать бизнес с кредитами Альфа-Банка. Потом откроется игра Всего в игре 35 головоломок. Чем больше решите, тем больше призов получите
Поток баллов и призов
Главный приз — 50 000 баллов Альфа‑Выгодно для бизнеса за все решённые головоломки Но есть и другие призы:
8000 баллов за рекомендацию РКО другу
5000 баллов за возобновляемую кредитную линию
5000 баллов за кредит с Защитой бизнеса
5000 баллов за кредитку для бизнеса
5000 баллов за овердрафт для бизнеса
Ещё вопросы
Как играть?
Сколько головоломок в день?
Что можно выиграть?
Как выиграть главный приз?
Как забрать приз?
Когда я получу приз?
Что такое инсайты?
Что такое достижения?
Сколько головоломок в игре?
Сколько продлится игра?
А есть подробные правила игры?"
1673,1674,https://alfabank.ru/everyday/salary-card/individual-salary-card/,html,Зарплатная карта — Оформить дебетовую карточку онлайн для зачисления зарплаты в 🅰️ Альфа‑Банке,"Популярная
категория кэшбэка
Каждый месяц новая, только для зарплатных клиентов
Бесплатные
уведомления
Деньги всегда под контролем
Бесплатное
обслуживание
Навсегда и без условий
Специальные предложения для своих
По кредитным продуктам
Бесплатное
снятие наличных
Со всех ваших дебетовых карт, в любых банкоматах России
Бесплатные уведомления
0 ₽ вместо 99 ₽,
по вашим дебетовым
картам
Не бонусы, а настоящие рубли
Выплачиваем кэшбэк не бонусами,
а рублями до 5000 ₽ ежемесячно
Подключите все привилегии
Совсем необязательно, чтобы ваш работодатель имел зарплатный проект
Альфа‑Банка. Вы можете стать зарплатным клиентом двумя способами:
самостоятельно или через бухгалтерию своего работодателя
Заполните заявку, и Альфа-Карта ваша
Ещё больше выгоды
для зарплатных клиентов
Для зарплатных клиентов выгодные ставки по кредитам и накопительным счетам
Пониженная ставка по ипотеке
Ставка меньше стандартной
От 30,1% первоначальный взнос
Кредит наличными до 15 млн ₽
Онлайн-решение за 2 минуты
Перечислим на бесплатную
дебетовую карту
До 15% по счёту на ежедневный остаток
Откройте накопительный Альфа‑Счёт с % на ежедневный остаток
и получайте до 15% годовых. Пополнять его можно в любое время,
снимать деньги — тоже
Получайте зарплату от работодателя или совершайте переводы на сумму от 30 000 ₽ в месяц — часть денег может быть зарплатой, часть — переводами себе из другого банка. Без комиссии можно переводить себе до 30 млн ₽ в месяц
Тратьте по карте от 10 000 ₽ — учитываем траты по дебетовым и кредитным картам
Если вы перевели зарплату в Альфа‑Банк через бухгалтерию, то выполнять условие по тратам необязательно.
Да, физические лица могут получать зарплату на карту любого банка. Для этого заполните и подайте заявление в бухгалтерию своей организации или переводите самостоятельно доход себе из другого банка на Альфа‑Карту.
Сумма трат по вашим картам, включая оплату по QR-коду через Alfa Pay. А также платежи за ЖКУ, мобильную связь, штрафы и другие в приложении Альфа‑Банка. Подробнее.
Все зарплатные поступления на карту (заработная плата, отпускные, аванс, премия, больничный) будут суммированы и учтены. Поступления от юрлица или ИП должны быть с назначением, где указано, что это зарплата. Вы можете получать деньги от любого юрлица или ИП и от любого их количества.
Да, будут засчитаны все переводы на счёт, которые можно отнести к зарплатным выплатам: зарплата, аванс, премия, больничные, отпускные и так далее.
Нет. Чтобы стать зарплатным клиентом и пользоваться всеми преимуществами этого статуса, заработная плата должна приходить на любой из ваших текущих дебетовых счетов.
Нет, индивидуальный зарплатный клиент может получать только рублёвые переводы, а организация, на которую вы работаете, должна быть зарегистрирована в России и стоять на налоговом учёте.
Если вы 3 месяца подряд не выполните условия по минимальной сумме зарплатных поступлений и тратам, то автоматически перестанете быть зарплатным клиентом и все льготные условия вернутся к стандартным.
Но как только вы снова начнёте выполнять условия, все привилегии будут вам возвращены автоматически.
Да, привилегии зарплатного клиента доступны только в рамках новой линейки карт. Вот как можно определить, в рамках какой линейки была выпущена карта:
Спросить у наших сотрудников в чате поддержки, по телефону или в отделении банка
Посмотреть в приложении Альфа‑Банка. Для этого зайдите в профиль, нажав на своё имя в левом верхнем углу:
если никакое название пакета услуг не отображается, значит карта открыта в рамках новой линейки
если название пакета услуг есть, то карта из старой линейки
Чтобы перейти на новую линейку, выпустите любую карту, доступную сегодня на сайте банка."
638,639,https://alfabank.ru/sme/loyalty/offers/glaz/,html,21 день бесплатно от сервиса GLAZ: удалённый контроль персонала — Программа лояльности 🅰️ Альфа‑Банка,"Легко
0 затрат на интеграцию, подключение и тестовый период
Быстро
Настройка сервиса — от 1 дня
Эффективно
Онлайн статистика количества отклонений в работе персонала"
1245,1246,https://alfabank.ru/lp/retail/x5/5ka/,html,Без названия,Coming Soon
1037,1038,https://alfabank.ru/help/articles/credit-cards/kreditnye-kanikuly-pri-mobilizacii/,html,Кредитные каникулы при мобилизации: как получить и как оформить — Блог Альфа⁠-⁠Банка,"Всем участникам специальной военной операции (СВО) выплачивается ежемесячное денежное довольствие. Размер выплат — от 195 000 ₽ в месяц, сумма зависит от звания, воинской должности и надбавок. Так как военнослужащие получают финансирование, мобилизация не освобождает от выплаты кредитов и займов.
Однако в случаях, когда платить по долгам не получается, можно взять кредитные каникулы. Как их оформлять и куда обращаться, описано в законе № 377-ФЗ от 07.10.2022
28 сентября 2022 года Госдума утвердила законопроект, направленный на снижение долговой нагрузки для заёмщиков, призванных в рамках частичной мобилизации. Закон подписан президентом России 7 октября 2022 года.
В соответствии с законом участники СВО и члены их семей могут временно приостановить или уменьшить свои обязательства перед кредиторами. Для пересмотра условий кредитования нужно подать заявление на кредитные каникулы.
С их помощью можно:
получить отсрочку по выплате кредита или займа
снизить размер ежемесячных платежей
Кредитная история при этом не пострадает, а штрафы и пени в течение льготного срока не начисляются. Если против заёмщика идёт судебное разбирательство по причине просрочек и неуплаты долгов, то оно приостанавливается.
Тем, кто оформляет отсрочку, важно помнить, что в течение каникул проценты по кредиту продолжают начисляться.
В случаях с потребительскими кредитами и займами ставка на время льготного периода составляет 2/3 от ключевой ставки ЦБ РФ, действующей в день подачи заявления. При этом максимальное значение ставки ограничено процентом по договору кредитования. Другими словами, ставка не станет выше, чем была до оформления отсрочки.
По ипотеке ставка остаётся той же, что в договоре, но рассчитывается так, будто заёмщик продолжает вносить платежи. Это значит, что с каждым месяцем база для начисления процентов уменьшается.
Все платежи переносятся на конец срока кредита, то есть договор продлевается на срок предоставленной отсрочки.
Получить отсрочку могут участники СВО следующих групп:
мобилизованные
контрактники
добровольцы
Под действие программы подпадают не только служащие по контракту с Минобороны России, но и служащие в войсках национальной гвардии, МЧС, ФСБ и других ведомств.
Также льготы положены членам семей военнослужащих. Супруги, родственники и иждивенцы могут оформлять отсрочки по ссудам, взятым на себя.
Льготы оформляются по следующим видам кредитов:
все виды потребительских кредитов, включая кредитки
ипотека
микрозаймы
Кредит должен быть выдан раньше того дня, когда участника СВО призвали по частичной мобилизации. Сумма, ставка, срок кредитования, наличие просрочек и другие факторы не важны.
Сроки рассчитываются следующим образом:
для мобилизованных и членов их семей — срок мобилизации плюс 30 дней
для добровольцев и членов их семей — срок контракта плюс 30 дней
для контрактников и членов их семей — срок участия в СВО плюс 30 дней
В случае если при выполнении задач, связанных с СВО, заёмщик получает травмы или заболевания и проходит лечение в стационаре, отсрочка продлевается на срок пребывания в больнице, госпитале или другом медицинском учреждении.
Момент старта отсрочки заёмщик может выбрать сам. Например, можно указать прошедшую дату, но не раньше 21 сентября 2022 года. Если дата не выбрана, то отсчёт начинается со дня подачи заявления.
По закону обратиться с заявлением можно в течение действия договора кредитования, но сделать это нужно не позднее 31 декабря 2025 года. Подать заявление можно по любому каналу связи, указанному банком или МФО: по телефону, почте, email.
К заявлению можно приложить документы, подтверждающие участие в СВО, но это не является обязательным условием для получения отсрочки. Кредитор — банк или МФО — самостоятельно обращается за информацией в Министерство обороны, управление Федеральной службы войск национальной гвардии или другие органы. Запрашивать дополнительные документы у заёмщика банк или МФО не вправе.
Если отсрочку оформляют члены семьи военнослужащего, то к заявлению нужно приложить документы, подтверждающие родство. Документы об участии родственника в СВО предоставлять необязательно.
Кредитор рассматривает заявку в течение 10 дней. Если заёмщик соответствует требованиям, указанным в № 377-ФЗ, то есть действительно проходит службу по мобилизации или контракту в зоне СВО, отсрочка будет предоставлена. Если какие-либо требования не выполнены, льготы не предоставляются. В любом случае банк или МФО присылает уведомление с одобрением или отказом.
Если уведомление не пришло в течение 15 дней с даты подачи заявления, отсрочка считается одобренной.
Допустим, по кредиту уже действует отсрочка, полученная ранее — например, в связи с пандемией и падением доходов из-за санкций. Такую льготу можно было получить по законам № 106-ФЗ и № 46-ФЗ, которые сейчас утратили силу. Что будет, если теперь заёмщик оформляет отсрочку по тому же кредиту по причине мобилизации?
В этом случае предыдущие льготы отменяются, а в силу вступает отсрочка для мобилизованных в соответствии с законом № 377-ФЗ от 07.10.2022.
К моменту завершения действия отсрочки банк должен прислать новый график платежей. В графике учитывается увеличенный срок действия договора и платежи с начисленными процентами.
Кредитор может запросить у заёмщика документы об участии в СВО — в случае если ранее они не были приложены к заявлению. Если документы не предоставить, банк может признать кредитные каникулы недействительными.
Долги списываются целиком в случае смерти участника СВО или получения инвалидности первой группы. Списанию подлежат долговые обязательства как самого военнослужащего, так и членов его семьи.
Отсрочка временно освобождает от выплаты кредита, но после окончания мобилизации возвращать деньги банку придётся. Кроме того, начисленные проценты увеличивают общую переплату. Поэтому взять отсрочку стоит только в том случае, если доходы сильно снизились и платить по кредиту невозможно.
Погашать кредит при прохождении службы можно нескольким способами:
заранее настроить автоплатёж
поручить оплату кредита близким
предоставить родственникам право на совершение финансовых операций от вашего имени (для этого нужно оформлять доверенность)
Для подстраховки на случай материальных проблем можно сделать кредитку и оставить её семье. Если срочно понадобятся деньги, близкие смогут снять наличные с карты или оплатить ею любые покупки и услуги.
Для тех, кто оформляет карту в Альфа‑Банке, переплата по кредитке минимальна. Узнать подробнее о карте и подать заявку можно здесь.
Может быть полезно
Беспроцентный период на покупки, снятие наличных и переводы | 60 дней |
Выпуск карты | Бесплатно безопасная доставка карты куда удобно сегодня или завтра |
Стоимость обслуживания | Первый год — бесплатно Далее — 990 ₽ в год, только если вы пользовались картой |
Переводы с карты на карту, по реквизитам ФЛ, ЮЛ, ИП | 5,9% + 390 ₽ |
Снятие наличных | Бесплатно до 50 000 ₽ в месяц. Далее комиссия 3,9% + 390 ₽ |
Кэшбэк на все покупки | до 100% на случайную категорию в барабане суперкэшбэка до 50% за покупки у партнёров до 30% в категориях на выбор |
Максимальный кредитный лимит | 1 000 000 ₽ |
Минимальный платёж | 0 — 10%, но не менее 300 ₽ определяется индивидуально |
Пополнение | Бесплатно • в мобильном приложении • в интернет-банке • через банкоматы Альфа‑Банка и партнёров • переводом с карт любых банков |
Беспроцентный период начнётся после первой из операций: покупок, снятия наличных или перевода по карте и возобновится после полного погашения долга
Вы заключили договор, активировали карту и сделали первую покупку
Беспроцентный период 60 дней начнётся с даты первой операции по карте 15 июля
Мы присылаем вам смс с суммой и датой минимального платежа
Эту сумму нужно внести в течение 20 дней
Заканчивается 60 дней без процентов
Льготный период действует на покупки, в т. ч. по QR-коду и через СБП, снятие наличных и переводы, а возобновляется после каждого полного погашения задолженности
После оформления карты вы что-то покупаете, например, телефон. На эту покупку мы не будем начислять проценты 60 дней
Когда вы вы погасите долг за телефон, 60 дней без процентов возобновятся
Кредитка подходит и для крупных, и для регулярных покупок. На них распространяется льготный период 60 дней. Вы можете снимать наличные и совершать переводы. Он возобновляется после каждого полного погашения — если гасить долг вовремя, проценты можно вообще не платить
Как получить карту в вашем городе:
Москва
В ближайшем отделении банка
Для оформления нужен только паспорт
При заполнении соблюдайте следующие правила:
Все поля справки обязательны для заполнения
Срок действия «Справки о трудоустройстве и доходах физического лица» — 30 дней с даты оформления
Справка не должна быть выдана клиентом или его близким человеком
Вы гражданин или гражданка РФ от 18 лет и старше
У вас постоянный доход от 5000 ₽ после вычета налогов
В регионе вашей постоянной регистрации присутствует филиал банка
У вас есть контактный телефон: мобильный или домашний
С 01.03.2025 г любой заёмщик вправе бесплатно установить в соответствии с Федеральным законом от 30.12.2004 г № 218-ФЗ «О кредитных историях» запрет на заключение с ним договоров потребительского кредита (займа), за исключением договоров потребительского кредита, обязательства по которым обеспечены ипотекой и (или) залогом транспортного средства, договоров основного образовательного кредита с господдержкой в соответствии с ч. 4 ст. 104 Федерального закона от 29 декабря 2012 года № 273-ФЗ «Об образовании в Российской Федерации».
Подать в квалифицированные бюро кредитных историй электронное заявление по установленной Банком России форме через портал «Госуслуги»
Подать в квалифицированные бюро кредитных историй заявление по установленной Банком России форме через МФЦ, при наличии у МФЦ соответствующей технической возможности
Заявление передадут во все квалифицированные бюро кредитных историй.
В приёме заявления могут отказать с уведомлением о причине отказа.
Срок внесения в кредитную историю данных о запрете на заключение договора потребительского кредита (займа) или о его снятии определен Федеральным законом «О кредитных историях».
Если заявление будет принято, то дата запрета и дата снятия запрета будут указаны в уведомлении, направленном заёмщику с использованием портала «Госуслуги» или выданном заёмщику МФЦ.
Запрет можно установить как на заключение договоров потребительского кредита (займа) с кредитными или микрофинансовыми организациями совместно очным и дистанционным способом, так и отдельно на заключение таких договоров дистанционным способом
Запрет распространяется на все виды потребительских кредитов (займов), кроме: ипотеки, кредита под залог транспортного средства, кредита на образование с господдержкой
Установленный запрет действует бессрочно, чтобы его снять, надо подать заявление о снятии запрета
Начиная с 01.03.2025 банки обязаны проверять в кредитной истории заёмщика сведения о наличии в отношении заёмщика запрета перед тем, как заключить с заёмщиком договор потребительского кредита (займа), кроме вышеуказанных кредитов-исключений.
Для проверки банку необходим ИНН заёмщика. Если заёмщик установил запрет на заключение договора потребительского кредита (займа) или проверить ИНН заёмщика у банка не получилось, то банк обязан отказать в предоставлении потребительского кредита (займа).
Если договор потребительского кредита (займа), кроме ипотеки/кредита под залог транспортного средства/кредита на образование с господдержкой, будет заключён несмотря на наличие на дату его заключения сведений о действующем запрете, то обязательства заёмщика по такому договору не подлежат исполнению. Информация в кредитной истории о таком договоре, заключённом несмотря на наличие действующего запрета, подлежит аннулированию по заявлению заёмщика, направленному в бюро кредитных историй или в адрес банка-кредитора, в течение 10-ти рабочих дней с даты направления указанного заявления.
По льготному периоду
По времени получения
По лимиту
По особенностям
По возрасту
Займы на карту
С бонусами
По региону"
592,593,https://alfabank.ru/retail/tariffs/update/2025-01-31/,html,С 1 февраля 2025 года Альфа-Банк изменяет процентные ставки по накопительному «Альфа-Счёт на минимальный остаток»,"31.01.2025
Подробнее: «Альфа‑Счёт»"
343,344,https://alfabank.ru/help/articles/sme/payservice/rabota-s-markirovannymi-tovarami-na-kasse/,html,Как продавать маркированный товар? Как работать с маркировкой на кассе 🅰️ | Альфа‑Банк,"Альфа‑Банк
Полезное о продуктах
Обязательная маркировка вводится в России последние несколько лет. Она влияет не только на производителей и импортёров, но и на розничных продавцов, общепит. Тем, кто продаёт маркированные товары, необходимо обновить кассовое ПО, приобрести дополнительное оборудование, настроить электронный документооборот. Какие ещё особенности работы с маркировкой нужно учесть рознице и общепиту, чтобы не столкнуться со штрафами?
На каждый товар, который входит в группу подконтрольной системе «Честный знак» продукции, наносится маркировка в виде уникального кода Data Matrix. В этом двумерном матричном штриховом коде зашифрована основная информация о продукте: место изготовления, состав, срок годности и другие данные.
Каждый участник системы мониторинга должен сканировать код Data Matrix при отгрузке и приёмке партии товара и передавать эту информацию в «Честный знак». Цепочка, которая включает производителей, оптовиков и розничных продавцов с общепитом, заканчивается на кассе, в момент реализации продукта. Процедура продажи маркированной продукции состоит из нескольких действий и занимает считаные секунды:
Кассир сканирует штрихкод на упаковке
Кассовая программа связывается с системой «Честный знак» и получает от неё информацию, что товар с этим кодом присутствует в обороте
Онлайн-касса формирует и распечатывает чек
Данные о продаже маркированного продукта автоматически передаются в систему мониторинга
Товарный код выбывает из оборота
Но бывает и так, что операция отклоняется. Почему так может произойти? На кассах для общепита и розницы в 2024–2025 годах будет поэтапно внедряться разрешительный режим. Это система проверки подлежащих маркировке товаров на ККТ. Если код пройдёт её после сканирования — чек будет пробит. А если нет — онлайн-касса выдаст уведомление о запрете продажи.
Сроки введения разрешительного режима для разных товарных групп различаются. Онлайн-проверки для продавцов маркированной продукции начались в апреле 2024 года с сигарет, слабоалкогольных напитков и пива в кегах. Уже через месяц крупные торговые сети были обязаны начать правильно работать с другой товарной группой: молочной продукцией и упакованной водой. Пока сроки реализации разрешительного режима продлены до июня 2025 года.
В момент сканирования штрихкода на упаковке система «Честный знак» проверяет его по нескольким контрольным точкам. Если код Data Matrix не соответствует стандартам, он не пройдёт проверку и касса выдаст ошибку. Продавать продукцию с отклонённым кодом нельзя: такая операция будет считаться нелегальной, а сама контрольно-кассовая техника не пробьёт чек.
