q_id,web_list
1,"[1567, 135, 1611, 16, 1607]"
2,"[372, 368, 862, 455, 1905]"
3,"[116, 386, 1733, 857, 1705]"
4,"[1043, 1051, 1704, 1760, 1762]"
5,"[926, 1620, 1520, 1193, 1561]"
6,"[108, 138, 697, 1495, 212]"
7,"[1906, 1528, 1704, 1916, 89]"
8,"[282, 892, 511, 66, 1704]"
9,"[1025, 1193, 1896, 165, 1608]"
10,"[1884, 116, 137, 1197, 1604]"
11,"[102, 1599, 1202, 410, 409]"
12,"[1192, 1611, 114, 1712, 1523]"
13,"[116, 1733, 113, 1884, 1025]"
14,"[372, 1567, 762, 759, 765]"
15,"[1904, 1363, 1316, 18, 1607]"
16,"[1915, 1129, 736, 141, 1649]"
17,"[372, 368, 455, 1191, 1255]"
18,"[1607, 1904, 1903, 1792, 1733]"
19,"[1915, 1900, 1767, 1543, 360]"
20,"[1915, 1620, 1043, 1060, 1051]"
21,"[1915, 455, 1884, 786, 18]"
22,"[1766, 1705, 1748, 1555, 349]"
23,"[511, 1704, 73, 1705, 1809]"
24,"[102, 663, 749, 96, 97]"
25,"[1915, 114, 1641, 1192, 216]"
26,"[455, 372, 368, 862, 1697]"
27,"[1615, 1586, 1538, 1192, 667]"
28,"[96, 97, 1775, 677, 98]"
29,"[1915, 1618, 1619, 89, 216]"
30,"[1884, 1043, 1924, 478, 1760]"
31,"[1915, 1733, 1046, 1618, 1627]"
32,"[116, 408, 1915, 114, 1561]"
33,"[1884, 1915, 1197, 1922, 1897]"
34,"[1499, 1704, 1677, 521, 1705]"
35,"[455, 1704, 1705, 1613, 216]"
36,"[1705, 1704, 271, 1063, 526]"
37,"[1725, 608, 848, 1705, 758]"
38,"[1607, 1608, 765, 1733, 768]"
39,"[478, 1924, 1704, 922, 1705]"
40,"[1071, 437, 1035, 1193, 1041]"
41,"[1524, 1525, 1752, 453, 1670]"
42,"[372, 1191, 1192, 1113, 1570]"
43,"[1793, 1792, 1777, 1765, 1789]"
44,"[1299, 1256, 371, 430, 1258]"
45,"[1063, 739, 149, 925, 872]"
46,"[1620, 1037, 1073, 1042, 1049]"
47,"[1905, 1627, 1907, 1899, 113]"
48,"[455, 1896, 1588, 1705, 1906]"
49,"[1919, 333, 543, 110, 1062]"
50,"[162, 73, 919, 931, 934]"
51,"[511, 1705, 1704, 1809, 1835]"
52,"[1900, 1915, 1543, 408, 1902]"
53,"[1567, 135, 1611, 16, 837]"
54,"[1924, 28, 29, 1704, 98]"
55,"[511, 1704, 1705, 73, 1809]"
56,"[1904, 1748, 1587, 1922, 1897]"
57,"[455, 1, 1705, 1704, 1191]"
58,"[1697, 706, 1696, 855, 335]"
59,"[1068, 89, 114, 29, 1676]"
60,"[1178, 1132, 360, 1936, 1191]"
61,"[511, 1157, 1567, 1704, 1705]"
62,"[1924, 478, 1704, 1705, 1457]"
63,"[1071, 868, 1197, 1748, 692]"
64,"[1567, 1891, 53, 1532, 1562]"
65,"[1567, 259, 1705, 1704, 16]"
66,"[1924, 1915, 1705, 1765, 1777]"
67,"[1705, 1733, 1704, 1164, 1167]"
68,"[866, 666, 634, 633, 664]"
69,"[1915, 1580, 1906, 926, 432]"
70,"[1896, 1608, 1607, 1157, 1567]"
71,"[89, 1534, 165, 1676, 29]"
72,"[124, 1904, 1700, 96, 1232]"
73,"[1855, 677, 376, 1055, 959]"
74,"[1612, 1704, 530, 1705, 1615]"
75,"[1915, 1588, 1899, 1529, 926]"
76,"[1915, 1598, 216, 1193, 1705]"
77,"[408, 1917, 823, 1900, 1915]"
78,"[478, 1884, 116, 102, 1924]"
79,"[823, 1612, 1914, 1762, 1873]"
80,"[372, 1906, 903, 432, 1302]"
81,"[1273, 971, 778, 1926, 1608]"
82,"[1915, 1249, 1761, 823, 824]"
83,"[368, 862, 1697, 1915, 455]"
84,"[368, 372, 216, 862, 455]"
85,"[1079, 1620, 1043, 677, 265]"
86,"[1586, 1615, 338, 346, 1192]"
87,"[1742, 1073, 1550, 884, 667]"
88,"[1896, 1607, 1567, 1192, 1608]"
89,"[1900, 1570, 1557, 1543, 1638]"
90,"[1636, 1449, 1704, 787, 1177]"
91,"[1713, 1701, 928, 1543, 1533]"
92,"[1192, 114, 1567, 1611, 16]"
93,"[677, 903, 1924, 480, 376]"
94,"[16, 116, 478, 1924, 924]"
95,"[114, 1915, 113, 890, 408]"
96,"[478, 1763, 1894, 811, 743]"
97,"[655, 1863, 430, 1260, 1258]"
98,"[887, 219, 368, 605, 1040]"
99,"[1717, 758, 1246, 745, 846]"
100,"[1615, 1567, 1556, 1538, 321]"
101,"[283, 1902, 1279, 1917, 1030]"
102,"[1705, 1904, 1316, 1607, 1363]"
103,"[1299, 420, 1814, 1813, 1706]"
104,"[1567, 926, 1617, 1884, 1555]"
105,"[1772, 1202, 410, 1263, 1580]"
106,"[365, 1014, 408, 1915, 125]"
107,"[371, 1148, 1762, 914, 924]"
108,"[1772, 1704, 661, 1705, 1302]"
109,"[1638, 116, 781, 1694, 171]"
110,"[1490, 1705, 1607, 1704, 1129]"
111,"[1915, 624, 1617, 1598, 324]"
112,"[1193, 1705, 933, 164, 419]"
113,"[73, 4, 1246, 1878, 1707]"
114,"[1900, 1543, 1915, 1902, 101]"
115,"[478, 1030, 443, 289, 455]"
116,"[1193, 1029, 1026, 1620, 1909]"
117,"[1671, 1745, 1616, 96, 1907]"
118,"[765, 1733, 762, 768, 1738]"
119,"[478, 1915, 1924, 1704, 1705]"
120,"[1772, 1646, 1451, 1853, 961]"
121,"[455, 368, 421, 1733, 1255]"
122,"[1814, 1772, 1813, 1811, 1812]"
123,"[735, 89, 102, 938, 164]"
124,"[1570, 135, 1721, 372, 1773]"
125,"[372, 702, 1098, 58, 57]"
126,"[216, 1389, 446, 1733, 1788]"
127,"[1617, 1618, 1025, 1915, 937]"
128,"[1929, 114, 1567, 884, 16]"
129,"[455, 1704, 1, 1705, 1191]"
130,"[1762, 292, 700, 1617, 1758]"
131,"[1878, 1707, 1795, 456, 1246]"
132,"[1907, 1885, 1704, 1887, 786]"
133,"[478, 1924, 1705, 1733, 1704]"
134,"[1924, 478, 1705, 1906, 1704]"
135,"[1704, 511, 1705, 1511, 1472]"
136,"[45, 1596, 1913, 1246, 401]"
137,"[1607, 372, 1608, 1517, 1157]"
138,"[1567, 1618, 1705, 1761, 1607]"
139,"[1607, 1157, 288, 1046, 165]"
140,"[1924, 1861, 1855, 1003, 236]"
141,"[1299, 1915, 1924, 164, 1343]"
142,"[1906, 1191, 1526, 455, 1922]"
143,"[1924, 1299, 1193, 1705, 1704]"
144,"[368, 1192, 1042, 1907, 698]"
145,"[441, 1630, 828, 1922, 1897]"
146,"[453, 1246, 495, 78, 1561]"
147,"[1863, 903, 927, 1901, 1836]"
148,"[1704, 1567, 1705, 1896, 1769]"
