q_id,web_list
1,"[135, 1567, 1704, 1880, 114]"
2,"[372, 368, 862, 1570, 455]"
3,"[116, 1762, 1705, 1761, 386]"
4,"[1051, 1043, 1704, 1761, 1705]"
5,"[926, 1520, 1561, 1518, 1556]"
6,"[108, 1495, 138, 349, 1042]"
7,"[1704, 1906, 1916, 1528, 1935]"
8,"[282, 1704, 1705, 511, 455]"
9,"[1896, 1025, 165, 164, 89]"
10,"[116, 1035, 1246, 1884, 1924]"
11,"[1599, 102, 1192, 1202, 410]"
12,"[1192, 1712, 114, 1523, 1611]"
13,"[919, 1915, 163, 165, 1025]"
14,"[372, 762, 926, 765, 901]"
15,"[1607, 1904, 1316, 18, 1587]"
16,"[1915, 1129, 918, 1269, 736]"
17,"[372, 368, 745, 1788, 1738]"
18,"[1903, 1607, 1792, 1316, 1587]"
19,"[1082, 1073, 1900, 360, 1543]"
20,"[1060, 1915, 1043, 1249, 1041]"
21,"[1915, 116, 1884, 1792, 18]"
22,"[1766, 1705, 1748, 1704, 349]"
23,"[73, 1704, 1705, 162, 919]"
24,"[102, 1541, 793, 96, 97]"
25,"[1915, 1641, 116, 98, 868]"
26,"[372, 368, 455, 1113, 862]"
27,"[1615, 1586, 1538, 1556, 1517]"
28,"[1775, 98, 1900, 857, 1828]"
29,"[1915, 89, 1705, 1618, 116]"
30,"[1043, 1760, 1924, 1884, 1604]"
31,"[1915, 1733, 149, 89, 1618]"
32,"[1915, 116, 1561, 1761, 1705]"
33,"[1915, 388, 1246, 1924, 1884]"
34,"[1499, 521, 1704, 1677, 1705]"
35,"[1704, 1607, 455, 1628, 164]"
36,"[271, 143, 558, 1649, 1705]"
37,"[1725, 608, 848, 781, 1705]"
38,"[1607, 1733, 1737, 768, 1734]"
39,"[478, 922, 1924, 1704, 1705]"
40,"[1915, 1071, 437, 349, 919]"
41,"[1524, 1525, 1752, 1559, 1197]"
42,"[372, 1570, 1121, 1557, 1040]"
43,"[1792, 1793, 1790, 1789, 1791]"
44,"[1256, 1299, 371, 430, 1258]"
45,"[1063, 1613, 739, 423, 1244]"
46,"[1620, 1037, 1049, 1030, 421]"
47,"[1627, 1907, 1905, 1745, 113]"
48,"[1896, 455, 1705, 1704, 1125]"
49,"[1919, 333, 1062, 975, 122]"
50,"[73, 162, 919, 931, 934]"
51,"[511, 1705, 1704, 1809, 1835]"
52,"[1915, 1900, 1917, 1902, 360]"
53,"[135, 1567, 1704, 1880, 114]"
54,"[28, 98, 1924, 29, 1704]"
55,"[1704, 1705, 511, 1809, 1835]"
56,"[1527, 1627, 1587, 1905, 919]"
57,"[455, 1704, 1607, 1705, 1613]"
58,"[706, 335, 1697, 1696, 164]"
59,"[1068, 1121, 1676, 116, 29]"
60,"[1178, 1600, 1936, 1040, 1926]"
61,"[1157, 432, 511, 1704, 1705]"
62,"[1924, 478, 1704, 1705, 1777]"
